NUTS,counted
CZ010,88.045
CZ0201,99.358
CZ0202,92.716
CZ0203,99.289
CZ0204,98.395
CZ0205,100.0
CZ0206,96.0
CZ0207,100.0
CZ0208,95.106
CZ0209,88.87
CZ020A,81.607
CZ020B,97.323
CZ020C,99.911
CZ0311,99.32
CZ0312,97.951
CZ0313,98.065
CZ0314,100.0
CZ0315,100.0
CZ0316,100.0
CZ0317,100.0
CZ0321,100.0
CZ0322,98.045
CZ0323,100.0
CZ0324,100.0
CZ0325,100.0
CZ0326,100.0
CZ0327,100.0
CZ0411,96.771
CZ0412,98.003
CZ0413,100.0
CZ0421,98.697
CZ0422,99.032
CZ0423,99.569
CZ0424,100.0
CZ0425,98.184
CZ0426,100.0
CZ0427,100.0
CZ0511,100.0
CZ0512,100.0
CZ0513,97.262
CZ0514,100.0
CZ0521,99.039
CZ0522,99.153
CZ0523,100.0
CZ0524,100.0
CZ0525,96.134
CZ0531,99.054
CZ0532,97.548
CZ0533,100.0
CZ0534,100.0
CZ0631,100.0
CZ0632,100.0
CZ0633,100.0
CZ0634,97.341
CZ0635,99.254
CZ0641,100.0
CZ0642,98.715
CZ0643,97.403
CZ0644,97.973
CZ0645,98.994
CZ0646,100.0
CZ0647,100.0
CZ0711,100.0
CZ0712,99.506
CZ0713,100.0
CZ0714,100.0
CZ0715,100.0
CZ0721,100.0
CZ0722,100.0
CZ0723,97.715
CZ0724,99.494
CZ0801,100.0
CZ0802,100.0
CZ0803,100.0
CZ0804,97.382
CZ0805,98.239
CZ0806,100.0
CZZZZZ,29.756
